[ElemU 0]
SEG_BUF: 
      0      0      1
      1      2      3
      2      4      5
      3      6      7
      4      9      8
      5     11     10
      6     13     12
      7     15     14
      8     17     16
      9     19     18
     10     20     21
     11     22     23
     12     25     24
     13     27     26
     14     28     29
     15     30     31
[ElemU 1]
SEG_BUF: 
      0      0      1
      1      2      3
      2      4      5
      3      6      7
      4      9      8
      5     11     10
      6     13     12
      7     15     14
      8     17     16
      9     19     18
     10     20     21
     11     22     23
     12     25     24
     13     27     26
     14     28     29
     15     30     31
[ElemU 2]
SEG_BUF: 
      0      0      1
      1      2      3
      2      4      5
      3      6      7
      4      9      8
      5     11     10
      6     13     12
      7     15     14
      8     17     16
      9     19     18
     10     20     21
     11     22     23
     12     25     24
     13     27     26
     14     28     29
     15     30     31
[ElemU 3]
SEG_BUF: 
      0      0      1
      1      2      3
      2      4      5
      3      6      7
      4      9      8
      5     11     10
      6     13     12
      7     15     14
      8     17     16
      9     19     18
     10     20     21
     11     22     23
     12     25     24
     13     27     26
     14     28     29
     15     30     31
[ElemU 4]
SEG_BUF: 
      0      0      1
      1      2      3
      2      4      5
      3      6      7
      4      9      8
      5     11     10
      6     13     12
      7     15     14
      8     17     16
      9     19     18
     10     20     21
     11     22     23
     12     25     24
     13     27     26
     14     28     29
     15     30     31
[ElemU 5]
SEG_BUF: 
      0      0      1
      1      2      3
      2      4      5
      3      6      7
      4      9      8
      5     11     10
      6     13     12
      7     15     14
      8     17     16
      9     19     18
     10     20     21
     11     22     23
     12     25     24
     13     27     26
     14     28     29
     15     30     31
[ElemU 6]
SEG_BUF: 
      0      0      1
      1      2      3
      2      4      5
      3      6      7
      4      9      8
      5     11     10
      6     13     12
      7     15     14
      8     17     16
      9     19     18
     10     20     21
     11     22     23
     12     25     24
     13     27     26
     14     28     29
     15     30     31
[ElemU 7]
SEG_BUF: 
      0      0      1
      1      2      3
      2      4      5
      3      6      7
      4      9      8
      5     11     10
      6     13     12
      7     15     14
      8     17     16
      9     19     18
     10     20     21
     11     22     23
     12     25     24
     13     27     26
     14     28     29
     15     30     31
[ElemU 8]
SEG_BUF: 
      0      0      1
      1      2      3
      2      4      5
      3      6      7
      4      9      8
      5     11     10
      6     13     12
      7     15     14
      8     17     16
      9     19     18
     10     20     21
     11     22     23
     12     25     24
     13     27     26
     14     28     29
     15     30     31
[ElemU 9]
SEG_BUF: 
      0      0      1
      1      2      3
      2      4      5
      3      6      7
      4      9      8
      5     11     10
      6     13     12
      7     15     14
      8     17     16
      9     19     18
     10     20     21
     11     22     23
     12     25     24
     13     27     26
     14     28     29
     15     30     31
[ElemU 10]
SEG_BUF: 
      0      0      1
      1      2      3
      2      4      5
      3      6      7
      4      9      8
      5     11     10
      6     13     12
      7     15     14
      8     17     16
      9     19     18
     10     20     21
     11     22     23
     12     25     24
     13     27     26
     14     28     29
     15     30     31
[ElemU 11]
SEG_BUF: 
      0      0      1
      1      2      3
      2      4      5
      3      6      7
      4      9      8
      5     11     10
      6     13     12
      7     15     14
      8     17     16
      9     19     18
     10     20     21
     11     22     23
     12     25     24
     13     27     26
     14     28     29
     15     30     31
[ElemU 12]
SEG_BUF: 
      0      0      1
      1      2      3
      2      4      5
      3      6      7
      4      9      8
      5     11     10
      6     13     12
      7     15     14
      8     17     16
      9     19     18
     10     20     21
     11     22     23
     12     25     24
     13     27     26
     14     28     29
     15     30     31
[ElemU 13]
SEG_BUF: 
      0      0      1
      1      2      3
      2      4      5
      3      6      7
      4      9      8
      5     11     10
      6     13     12
      7     15     14
      8     17     16
      9     19     18
     10     20     21
     11     22     23
     12     25     24
     13     27     26
     14     28     29
     15     30     31
[ElemU 14]
SEG_BUF: 
      0      0      1
      1      2      3
      2      4      5
      3      6      7
      4      9      8
      5     11     10
      6     13     12
      7     15     14
      8     17     16
      9     19     18
     10     20     21
     11     22     23
     12     25     24
     13     27     26
     14     28     29
     15     30     31
[ElemU 15]
SEG_BUF: 
      0      0      1
      1      2      3
      2      4      5
      3      6      7
      4      9      8
      5     11     10
      6     13     12
      7     15     14
      8     17     16
      9     19     18
     10     20     21
     11     22     23
     12     25     24
     13     27     26
     14     28     29
     15     30     31
